InputID,TargetID,Distance
737,Yuxi,0.22202857793
738,Yinchuan,0.972521400945
739,Salerno,0.193480405322
741,Taiyuan,0.556875009878
742,Potenza,0.331003790549
744,Carahue,0.330147456182
745,Podgorica,0.470950655522
746,Cotui,0.153570758194
750,Nice,0.300697083865
9788,Antigua Guatemala,0.0470957979851
9789,Antigua Guatemala,0.0470957979851
752,Fasa,1.41865580496
751,Guapi,0.711923579202
753,Tangshan,1.02195788286
754,Xian,0.163016157586
755,Ciudad Guzman,0.491220685458
757,Concepcion,0.0943635405553
758,Verona,0.433354548044
759,Yuxi,0.30870043871
7941,Minxian,0.0473777143214
760,Colima,0.281589513072
762,Geneva,0.0608012145717
763,Rijeka,0.418789077807
761,Kashan,0.181055493202
765,Quito,0.0988670653921
767,Valdivia,0.0452996845809
768,Tengchong,0.137508008758
769,Chilca,0.26076088358
7942,Dali,0.662123616283
770,Melilla,0.0199885647222
771,Dover,0.115063647319
773,Sicuani,0.329928635349
776,Arequipa,0.194258418869
777,Callao,0.482855262419
774,Naples,0.28110096271
779,Sion,0.356141642392
780,Sion,0.356141642392
781,Sion,0.359216179666
782,Chancay,0.58199118691
5957,Nagoya,0.193418044057
783,Dali,0.417638442949
786,Callao,0.61004142693
9787,Antigua Guatemala,0.0138029832683
787,Piura,0.158073216932
788,Quito,0.00723858828121
791,Faro,0.106433774963
792,Yuxi,0.444177548303
793,Shiraz,0.354456013754
6038,Shizuoka,0.262497594424
7935,Cordoba,0.0360528714182
796,Lanzhou,0.667096269274
797,Rijeka,0.558013161804
798,Sangolqui,0.321972160796
799,Zagreb,0.316230695018
801,Vienna,0.870233170047
795,Camana,0.607654874699
802,Ponta Delgada,0.442760943943
803,Poitier,0.566925772696
804,Ica,0.28280341935
808,Oita,0.116822453902
810,Lisbon,0.26415692213
5958,Oita,0.0568108630885
811,Lisbon,0.26415692213
812,Manila,0.0206516394279
814,Moquegua,0.392018344938
815,Moquegua,0.606355196353
7943,Shantou,0.547115537877
816,Manila,0.0206516394279
818,Manila,0.0206516394279
819,Altdorf,0.159015885784
5959,Kawasaki,0.903831386372
820,Villahermosa,0.399973187963
822,Mitla,0.129925407578
826,Ilo,0.466484188993
831,Putian,0.644659994416
830,La Serena,0.0500231510117
821,Iraklio,0.408843567409
833,Tokushima,1.12253138986
834,Hamamatsu,1.43959104434
835,Haikou,0.234289274873
836,Gejiu,0.41347528253
837,Mitla,0.129925407578
838,Qazvin,0.516631668855
839,Podgorica,0.570136742159
840,Podgorica,0.570136742159
842,Dubrovnik,0.48482425222
844,Jiayuguan,0.935112111585
846,Callao,0.314883939656
843,Vibo Valentia,0.210756737122
849,Merida,0.677410181638
852,Basel,0.120687459632
851,Tuguegarao,0.671181885053
853,Mexico City,0.0646321386533
7944,Maoming,0.601352564687
854,Mexico City,0.0646321386533
855,Koriyama,0.390517529606
856,Hachinohe,3.32287390056
860,Kashmar,0.455871359028
861,Agrinio,0.633324681727
6026,Iraklio,0.408843567409
863,Suwon,0.0604013345472
865,Catania,0.684787281514
862,Iraklio,0.0394424393828
867,Angra do Heroismo,0.331121831814
868,Ponta Delgada,1.69673049586
7945,Yuci,0.533543576165
869,Nagaoka,0.861468969472
6008,Kerch,1.09354382492
871,Tokyo,0.0511509185996
872,Santo Domingo,0.101886645244
874,Arica,0.0600162376709
876,Stans,0.15092954357
877,Sendai,0.998292701013
5960,Hachinohe,3.32287390056
875,Aleppo,0.148445661311
7946,Jiexiu,0.0400246414723
879,Mumbai,0.127149204641
880,Nice,0.122652781657
881,Bellinzona,0.490928007429
882,Kashmar,0.486552461034
884,Mitla,0.129925407578
885,Trujillo,0.179941189807
5961,Kumamoto,0.317312644607
889,Tuguegarao,0.600460314092
883,Cottbus,0.594453720913
890,Iloilo,0.105086947718
891,Namangan,0.287911768819
7947,Langfang,0.0312953157228
892,Panama City,0.438280358763
893,Pirgos,0.486061335103
894,Fresnillo,0.220570028947
895,Chur,0.801532631059
896,Chur,0.801532631059
897,Pingliang,1.04146184384
902,Ferrara,0.314390300569
900,Fez,0.406277328098
903,Agrinio,0.633324681727
904,Catanzaro,0.223783982745
905,Datong,1.13074576427
907,Naples,0.464549452246
7948,Yinchuan,1.2390827808
908,Quito,0.0131943185397
910,Foggia,0.344028191483
5962,Tuguegarao,0.797065802134
913,Karlovac,0.515011348184
8094,Zhangjiakou,0.764086311204
912,Legazpi,0.0583241986109
5964,Iraklio,0.687485859187
5965,Amahai,1.59320646996
915,Rostock,0.493719207115
7949,Mianyang,1.31103900107
916,Agrinio,0.811506830635
919,Callao,0.387482256447
9392,Amahai,1.59320646996
920,Dikhil,0.678822798734
7950,Longxi,0.422973536835
7951,Pingliang,1.12031912469
7952,Changde,0.268950486183
9756,Naples,0.184132618757
921,Dubrovnik,0.404144612047
925,Yokohama,0.398551220122
5966,Ancud,0.076115468748
926,Pirgos,0.486061335103
923,Tabriz,0.132839495679
927,Tianshui,0.796203180882
7953,Huangshi,0.479998353116
930,Baoji,0.849060248597
929,Pirgos,1.22301846898
10001,Pirgos,1.22301846898
931,Sekondi,0.520157154674
932,Pagadian,0.318171220237
934,Catanzaro,0.343633871055
8245,Catanzaro,0.380439068671
937,Qazvin,0.0700199588138
938,Dubrovnik,0.161177742822
940,L'Aquila,0.265340410282
941,Coquimbo,0.0734598752585
945,Tabriz,0.11176481004
944,Riobamba,0.0583241778534
7887,Maastricht,0.0577717509827
8246,Catanzaro,0.337712591593
942,Hakodate,0.281484240398
5967,Shantou,0.498517292065
943,Karlovac,0.415546082258
948,Tuguegarao,0.587518236741
949,Riobamba,0.226774544965
950,Tabriz,0.217959486382
952,Maiquetia,0.403299259044
7954,Shantou,0.211298462152
947,Kyustendil,0.018060831527
7955,Houma,0.531489195453
6019,Kawasaki,0.953893733401
5968,Ulsan,0.191288892102
954,Pamplona,0.193962157791
956,Monaco,0.948065254805
957,Pamplona,0.399404381924
5969,Akita,0.310152394208
959,Riobamba,0.0583241778534
961,Pasay City,0.150441303586
963,Pasay City,0.150441303586
964,Van,0.279619469775
9979,Livorno,0.0147688702025
5970,Istanbul,0.0725834474735
965,Foggia,0.500793142166
966,Sendai,0.899829368606
5971,Nasca,0.672666954307
970,Santiago,0.0840814788077
972,Tokyo,0.400951138574
976,Van,0.279619469775
974,Quezon City,0.350846863627
975,Rijeka,0.558013161804
973,Leon,0.102288620797
9982,Messina,0.0174706008223
978,Kawasaki,0.29651826393
5972,Mokpo,0.798256379387
979,Tabriz,0.132839495679
982,Cusco,0.0374401999208
9993,Iraklio,1.1082549107
983,Derbent,0.578943937993
984,Dali,0.438667256498
986,Aydin,0.494977641096
6025,Batangas,0.893933215053
990,Tianshui,0.515692210754
991,Caserta,0.811986853243
993,Palma,1.08205839856
989,Chosica,0.202457760371
994,Iraklio,0.350232618378
998,Callao,0.518790745086
999,Chilca,0.26076088358
1000,Trablous,0.0284183144667
1002,Tours,0.297657001398
1003,Concepcion,0.0200220201046
7956,Deyang,0.880002180066
5744,Santiago,0.0604876934318
5973,Ambon,0.744074900959
1001,Chilca,0.133826989034
7957,Zhuozhou,0.166464684598
1005,Trujillo,0.0282864860858
1007,Pirgos,0.550021368453
1008,Pasay City,0.427349587241
1010,Koriyama,0.390517529606
1011,Vibo Valentia,0.202731345139
6027,Ambon,3.33418742354
1014,Lamia,0.500156374461
1016,Tarbes,0.177129828897
1017,Quito,0.0131943185397
1013,Melilla,0.0199885647222
1015,Modena,0.0223856470078
5974,Tainan,4.27933422921e-05
1019,Ravenna,0.388649552766
1021,Quito,0.102827445092
